country_code;year;value
HTI;2020;1900.0
HND;2020;730.0
HUN;2020;
ISL;2020;100.0
IND;2020;39000.0
IDN;2020;26000.0
IRN;2020;3500.0
IRQ;2020;
IRL;2020;100.0
ISR;2020;
ITA;2020;500.0
JAM;2020;640.0
JPN;2020;
JOR;2020;
KAZ;2020;200.0
KEN;2020;22000.0
KIR;2020;
KWT;2020;
KGZ;2020;500.0
LAO;2020;500.0
LVA;2020;100.0
LBN;2020;100.0
LSO;2020;5300.0
LBR;2020;1300.0
LBY;2020;100.0
LTU;2020;100.0
LUX;2020;100.0
MDG;2020;2500.0
MWI;2020;13000.0
MYS;2020;1600.0
MDV;2020;
MLI;2020;4700.0
MLT;2020;
MHL;2020;
MRT;2020;510.0
MUS;2020;
MEX;2020;5100.0
FSM;2020;
MCO;2020;
MNG;2020;100.0
MNE;2020;100.0
MAR;2020;500.0
MOZ;2020;
MMR;2020;7200.0
NAM;2020;3200.0
NRU;2020;
NPL;2020;590.0
NLD;2020;100.0
NZL;2020;100.0
NIC;2020;500.0
NER;2020;970.0
NGA;2020;56000.0
NIU;2020;
MKD;2020;
NOR;2020;100.0
OMN;2020;100.0
PAK;2020;8400.0
PLW;2020;
PAN;2020;
PNG;2020;500.0
PRY;2020;500.0
PER;2020;960.0
PHL;2020;1000.0
POL;2020;
PRT;2020;500.0
QAT;2020;100.0
KOR;2020;
MDA;2020;500.0
ROU;2020;500.0
RUS;2020;
RWA;2020;2700.0
KNA;2020;
LCA;2020;
VCT;2020;
WSM;2020;
SMR;2020;
STP;2020;
SAU;2020;
SEN;2020;1200.0
SRB;2020;100.0
SYC;2020;
SLE;2020;3200.0
SGP;2020;100.0
SVK;2020;100.0
SVN;2020;
SLB;2020;
SOM;2020;500.0
ZAF;2020;55000.0
SSD;2020;8200.0
ESP;2020;820.0
LKA;2020;100.0
SDN;2020;1900.0
SUR;2020;
SWE;2020;
CHE;2020;200.0
SYR;2020;100.0
TJK;2020;200.0
THA;2020;11000.0
GBR;2020;
TLS;2020;100.0
TGO;2020;2900.0
TON;2020;
TTO;2020;500.0
TUN;2020;500.0
TUR;2020;
TKM;2020;
