 country_code, year, value 
 ALB, 2020, 681.0 
 DZA, 2020, 15564.0 
 AND, 2020,  
 AGO, 2020, 111188.0 
 ATG, 2020,  
 ARG, 2020, 95685.0 
 ARM, 2020,  
 AUS, 2020, 24225.0 
 AUT, 2020,  
 AZE, 2020, 5618.0 
 BHS, 2020, 2992.0 
 BHR, 2020, 281.0 
 BGD, 2020, 4194.0 
 BRB, 2020, 1406.0 
 BLR, 2020, 18765.0 
 BEL, 2020,  
 BLZ, 2020, 1605.0 
 BEN, 2020, 52497.0 
 BTN, 2020, 515.0 
 BOL, 2020, 12924.0 
 BIH, 2020,  
 BWA, 2020, 324183.0 
 BRA, 2020, 655608.0 
 BRN, 2020,  
 BGR, 2020, 1793.0 
 BFA, 2020, 70156.0 
 BDI, 2020, 73033.0 
 CPV, 2020, 2556.0 
 KHM, 2020, 62310.0 
 CMR, 2020, 350823.0 
 CAN, 2020,  
 CAF, 2020, 50805.0 
 TCD, 2020, 77017.0 
 CHL, 2020, 54153.0 
 CHN, 2020, 978138.0 
 COL, 2020, 115991.0 
 COM, 2020, 85.0 
 COG, 2020, 27371.0 
 COK, 2020,  
 CRI, 2020, 9217.0 
 CIV, 2020, 280848.0 
 HRV, 2020, 1300.0 
 CUB, 2020, 24863.0 
 CYP, 2020, 1077.0 
 CZE, 2020,  
 PRK, 2020,  
 COD, 2020, 376325.0 
 DNK, 2020, 5808.0 
 DJI, 2020, 2063.0 
 DMA, 2020,  
 DOM, 2020, 38270.0 
 ECU, 2020, 33797.0 
 EGY, 2020, 10352.0 
 SLV, 2020, 13843.0 
 GNQ, 2020, 25703.0 
 ERI, 2020, 9078.0 
 EST, 2020,  
 SWZ, 2020, 204286.0 
 ETH, 2020, 483127.0 
 FJI, 2020, 506.0 
 FIN, 2020,  
 FRA, 2020, 160314.0 
 GAB, 2020, 24208.0 
 GMB, 2020, 8286.0 
 GEO, 2020, 5442.0 
 DEU, 2020,  
 GHA, 2020, 208811.0 
 GRC, 2020, 11129.0 
 GRD, 2020,  
 GTM, 2020, 21113.0 
 GIN, 2020, 55993.0 
 GNB, 2020, 17200.0 
 GUY, 2020, 5889.0 
 HTI, 2020, 122224.0 
 HND, 2020, 11956.0 
 HUN, 2020,  
 ISL, 2020, 287.0 
 IND, 2020, 1495635.0 
 IDN, 2020, 142906.0 
 IRN, 2020, 15421.0 
 IRQ, 2020,  
 IRL, 2020,  
 ISR, 2020,  
 ITA, 2020,  
 JAM, 2020, 13082.0 
 JPN, 2020, 26150.0 
 JOR, 2020,  
 KAZ, 2020, 20176.0 
 KEN, 2020, 1123350.0 
 KIR, 2020,  
 KWT, 2020,  
 KGZ, 2020, 4443.0 
 LAO, 2020, 8189.0 
 LVA, 2020, 3014.0 
 LBN, 2020, 1854.0 
 LSO, 2020, 232984.0 
 LBR, 2020, 18515.0 
 LBY, 2020, 3286.0 
 LTU, 2020, 1248.0 
 LUX, 2020, 964.0 
 MDG, 2020, 5885.0 
 MWI, 2020, 864503.0 
 MYS, 2020, 42579.0 
 MDV, 2020, 13.0 
 MLI, 2020, 56901.0 
 MLT, 2020,  
 MHL, 2020,  
 MRT, 2020, 3384.0 
 MUS, 2020, 2936.0 
 MEX, 2020, 200350.0 
 FSM, 2020,  
 MCO, 2020,  
 MNG, 2020, 223.0 
 MNE, 2020, 196.0 
 MAR, 2020, 16527.0 
 MOZ, 2020, 1402900.0 
 MMR, 2020, 199232.0 
 NAM, 2020, 181696.0 
 NRU, 2020,  
 NPL, 2020, 19827.0 
 NLD, 2020, 21027.0 
 NZL, 2020, 2876.0 
 NIC, 2020, 5775.0 
 NER, 2020, 21330.0 
 NGA, 2020, 1483017.0 
 NIU, 2020,  
 MKD, 2020,  
 NOR, 2020, 4176.0 
 OMN, 2020, 1454.0 
 PAK, 2020, 24362.0 
 PLW, 2020,  
 PAN, 2020,  
 PNG, 2020, 35840.0 
 PRY, 2020, 9778.0 
 PER, 2020, 71630.0 
 PHL, 2020, 45894.0 
 POL, 2020,  
 PRT, 2020,  
 QAT, 2020, 128.0 
 KOR, 2020,  
 MDA, 2020, 6810.0 
 ROU, 2020, 12904.0 
 RUS, 2020, 615099.0 
 RWA, 2020, 204711.0 
 KNA, 2020,  
 LCA, 2020,  
 VCT, 2020,  
 WSM, 2020,  
 SMR, 2020,  
 STP, 2020,  
 SAU, 2020,  
 SEN, 2020, 30431.0 
 SRB, 2020, 2172.0 
 SYC, 2020,  
 SLE, 2020, 38003.0 
 SGP, 2020, 6363.0 
 SVK, 2020,  
 SVN, 2020, 709.0 
